text	label
1. 오이와 대파는 5cm길이로 채를 썬 후 대파는 찬물에 담가주세요. 청상추는 한 입 크기로 자르고 홍고추는 어슷하게 썰어주세요.	O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O
2. 차돌박이는 키친타올에 올려 핏물을 제거해주세요. 볼에 양념 재료를 넣어 섞어주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O
4. 흐르는 찬물에 중면을 여러 번 씻어 전분기를 없애고, 채반에 받쳐 물기를 빼주세요.	O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O
5. 달군 팬에 차돌박이를 소금간을 하여 노릇하게 구워주세요.	O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O
6. 섞어둔 양념장에 중면을 넣고 고루 버무려주세요. 청상추를 넣어 가볍게 버무려주세요.	O O CV_STATE CV_STATE CV_STATE CV_SEASONING CV_SEASONING O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O
7. 완성 그릇에 비빔국수를 담고 차돌박이와 오이채, 대파채, 홍고추, 깨를 뿌려 완성해주세요. 	O O O O O CV_INGREDIENT CV_INGREDIENT O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_SEASONING O O O O O O O
(기호에 따라 깻잎, 치커리 등의 야채등을 넣어 드셔도 좋아요.)	O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O CV_INGREDIENT O O O O O O O O O O O
(끓는 물에 살짝 데치면 껍질을 더 쉽게 벗길 수 있어요)	O O O O O O O O O O O O O O O O O O O O O
2. 삶아진 고구마줄기를 적당한 길이로 자르고 양파는 채썰고, 마늘은 편을 썰어주세요.	O O CV_STATE CV_STATE CV_STATE CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_INGREDIENT O O O O O CV_INGREDIENT O O O O O O O O
4. 들깨가루, 국간장, 물을 넣은 후 살짝 더 볶아 완성해주세요.	O O CV_SEASONING CV_SEASONING CV_SEASONING O CV_SEASONING CV_SEASONING CV_SEASONING O CV_SEASONING O O O O O O O O O O O O O
